track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_x,track_name,external_urls_tracks,track_artist_id,artist_name,followers number,images_artists,external_urls_artists,track_album_id,album_name,release_date,image_album,external_urls_albums,duration_ms_y,explicit,genres
0imr4NbTXr8jk4Z8cy69Ot,0.562,0.939,-4.282,0.0475,0.046,0.0,0.112,0.684,116.044,221946,Stronger (What Doesn't Kill You),https://open.spotify.com/track/0imr4NbTXr8jk4Z8cy69Ot,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,10781010,https://i.scdn.co/image/ab6761610000e5eb1dd7d8fbcaa03fca3619b644,https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX,4o03pHHL4dYfHB4olfCdyE,Party Hits,2012-11-19,https://i.scdn.co/image/ab67616d0000b273907c5efb002dfcf3638e08cc,https://open.spotify.com/album/4o03pHHL4dYfHB4olfCdyE,221946,False,"R&B, pop, christmas"
5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,-6.55,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210266,I Wanna Go,https://open.spotify.com/track/5cCAZS9VhLGEDV4NCfieeg,26dSoYclwsYLMAKD3tpOr4,Britney Spears,16432977,https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,0oFBaXLFsUVa2gEmJf4FcJ,Femme Fatale (Deluxe Version),2011-03-28,https://i.scdn.co/image/ab67616d0000b273fda0f2adec40250bea55101b,https://open.spotify.com/album/0oFBaXLFsUVa2gEmJf4FcJ,210266,False,pop
6naxalmIoLFWR0siv8dnQQ,0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160,Oops!...I Did It Again,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,26dSoYclwsYLMAKD3tpOr4,Britney Spears,16432977,https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,5PmgtkodFl2Om3hMXONDll,Oops!... I Did It Again,2000-05-16,https://i.scdn.co/image/ab67616d0000b273c50b7d96737041f4bfd844d6,https://open.spotify.com/album/5PmgtkodFl2Om3hMXONDll,211160,False,pop
2EbseeW2cr5zK3J8VuYntw,0.696,0.517,-8.379,0.0366,0.364,0.0,0.197,0.23,112.291,199133,Dangerously,https://open.spotify.com/track/2EbseeW2cr5zK3J8VuYntw,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,24311449,https://i.scdn.co/image/ab6761610000e5ebd5594e3ae145bbb2c096366d,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,5J4SS8wTmXdyIEVYjmHzpZ,Nine Track Mind (Special Edition),2015-11-05,https://i.scdn.co/image/ab67616d0000b27315145482a542a9adb282250b,https://open.spotify.com/album/5J4SS8wTmXdyIEVYjmHzpZ,199133,False,"soft pop, pop"
5g1vtHqi9uV7xtYeCcFOBx,0.637,0.834,-4.686,0.323,0.614,0.0,0.317,0.715,87.312,193733,Jesus Walks,https://open.spotify.com/track/5g1vtHqi9uV7xtYeCcFOBx,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,29601642,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,https://open.spotify.com/album/4Uv86qWpGTxf7fU7lG5X6F,193733,True,"hip hop, rap"
7CX1m1nI25iiNoOgRKNoIT,0.837,0.364,-11.713,0.276,0.149,0.0,0.271,0.463,123.984,213593,MIDDLE CHILD,https://open.spotify.com/track/7CX1m1nI25iiNoOgRKNoIT,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,26005881,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,5PerfGh9Smd6XjwkxpmL4V,Revenge Of The Dreamers III: Director's Cut,2020-01-16,https://i.scdn.co/image/ab67616d0000b273a145ed96ce61bf4201d619c3,https://open.spotify.com/album/5PerfGh9Smd6XjwkxpmL4V,213000,True,"hip hop, rap"
40wUM3LFZOlUcZfxEIZrYK,0.716,0.485,-7.745,0.404,0.123,2.69e-05,0.604,0.26,74.132,313786,Swimming Pools (Drank) - Extended Version,https://open.spotify.com/track/40wUM3LFZOlUcZfxEIZrYK,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,39687113,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,748dZDqSZy6aPXKcI9H80u,"good kid, m.A.A.d city (Deluxe)",2012-10-22,https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5,https://open.spotify.com/album/748dZDqSZy6aPXKcI9H80u,313786,True,"hip hop, west coast hip hop"
7ccC26pJ3aDG81sS4FwdXF,0.688,0.835,-4.162,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,230493,Remember the Name (feat. Styles of Beyond),https://open.spotify.com/track/7ccC26pJ3aDG81sS4FwdXF,7dWYWUbO68rXJOcyA7SpJk,Fort Minor,674230,https://i.scdn.co/image/ab6761610000e5eb53a76aaa221c3214f14c4c21,https://open.spotify.com/artist/7dWYWUbO68rXJOcyA7SpJk,1rKm9mmLsFu0Dt9agiSLbw,The Rising Tied (Deluxe Edition),2005,https://i.scdn.co/image/ab67616d0000b273c5454d7ff89392760678c491,https://open.spotify.com/album/1rKm9mmLsFu0Dt9agiSLbw,230493,True,"hip hop, rap rock, rock, pop"
3qaSqrrevBrb84xl5JlptU,0.506,0.93,-3.499,0.0675,0.129,0.00682,0.0931,0.305,146.994,297426,Dakota,https://open.spotify.com/track/3qaSqrrevBrb84xl5JlptU,21UJ7PRWb3Etgsu99f8yo8,Stereophonics,1678446,https://i.scdn.co/image/ab6761610000e5eb90a19107c60bce07274c7559,https://open.spotify.com/artist/21UJ7PRWb3Etgsu99f8yo8,1DwcGY8AK9RS0IgmozyvyP,Language.Sex.Violence.Other?,2005-01-01,https://i.scdn.co/image/ab67616d0000b273ecdb914ea9cbbb31c5a6b71b,https://open.spotify.com/album/1DwcGY8AK9RS0IgmozyvyP,297426,False,"rock, pop, britpop"
6wPqK0huNYjdSQ5wqRCLvO,0.745,0.958,-9.664,0.0287,0.0813,0.324,0.533,0.96,129.962,268863,Move Your Body - Gabry Ponte Original Radio Edit,https://open.spotify.com/track/6wPqK0huNYjdSQ5wqRCLvO,64rxQRJsLgZwHHyWKB8fiF,Eiffel 65,420011,https://i.scdn.co/image/ab6761610000e5eb97750c261f871a9504059983,https://open.spotify.com/artist/64rxQRJsLgZwHHyWKB8fiF,65jtw2LL6r3aVvDD7PSXtV,Europop,2011-01-05,https://i.scdn.co/image/ab67616d0000b27363d5a6f7b79c5b7d75d2ace9,https://open.spotify.com/album/65jtw2LL6r3aVvDD7PSXtV,268863,False,"italo dance, eurodance, pop, europop"
